pais;puntuacion
Afganistan;144
Albania;-35
Alemania;-68
Andorra;149
Angola;175
Antigua y Barbuda;205
Arabia Saudita;32
Argelia;24
Argentina;-17
Armenia;74
Australia;-81
Austria;-66
Azerbaiyan;114
Bahamas;187
Banglades;50
Barbados;-46
Barein;62
Belgica;-59
Belice;253
Benin;103
Bielorrusia;126
Birmania   Myanmar;106
Bolivia;96
Bosnia y Herzegovina;172
Botsuana;-13
Brasil;42
Brunei;-54
Bulgaria;-33
Burkina Faso;222
Burundi;198
Butan;280
Cabo Verde;267
Camboya;90
Camerun;176
Canada;-73
Catar;-58
Chad;176
Chile;-57
China;97
Chipre;-21
Colombia;102
Comoras;327
Corea del Norte;16
Corea del Sur;-38
Costa de Marfil;149
Costa Rica;-35
Croacia;-42
Cuba;162
Dinamarca;-69
Dominica;231
Ecuador;14
Egipto;106
El Salvador;80
Emiratos Arabes Unidos;-15
Eritrea;183
Eslovaquia;-48
Eslovenia;-58
Espana;-79
Estado de Palestina;119
Estados Federados de Micronesia;279
Estados Unidos;48
Estonia;-25
Etiopia;140
Filipinas;148
Finlandia;-51
Fiyi;234
Francia;-31
Gabon;45
Gambia;135
Georgia;147
Ghana;71
Granada;213
Grecia;-28
Guatemala;91
Guinea;117
Guinea Ecuatorial;214
Guinea Bisau;187
Guyana;64
Haiti;233
Holanda;-64
Honduras;82
Hong Kong;124
Hungria;-59
India;107
Indonesia;45
Irak;101
Iran;20
Irlanda;-81
Islandia;-91
Islas Marshall;269
Islas Salomon;305
Israel;82
Italia;-55
Jamaica;39
Japon;-75
Jordania;52
Kazajistan;43
Kenia;147
Kirguistan;135
Kiribati;289
Kuwait;-43
Laos;50
Lesoto;86
Letonia;-33
Libano;100
Liberia;106
Libia;109
Liechtenstein;136
Lituania;-32
Luxemburgo;-30
Madagascar;55
Malasia;-10
Malaui;76
Maldivas;238
Mali;171
Malta;-32
Marruecos;18
Mauricio;-59
Mauritania;121
Mexico;83
Moldavia;40
Monaco;135
Mongolia;35
Montenegro;158
Mozambique;113
Namibia;37
Nauru;235
Nepal;87
Nicaragua;30
Niger;185
Nigeria;165
Noruega;-65
Nueva Zelanda;-64
Oman;140
Pakistan;131
Palaos;193
Panama;-5
Papua Nueva Guinea;201
Paraguay;30
Peru;32
Polonia;-42
Portugal;-82
Reino Unido;-47
Republica Centroafricana;163
Republica Checa;-68
Republica de Macedonia;235
Republica del Congo;151
Republica Democratica del Congo;151
Republica Dominicana;39
Ruanda;158
Rumania;-43
Rusia;112
Samoa;249
San Cristobal y Nieves;205
San Marino;115
San Vicente y las Granadinas;234
Santa Lucia;219
Santo Tome y Principe;304
Senegal;58
Serbia;-17
Seychelles;198
Sierra Leona;76
Singapur;-60
Siria;147
Somalia;-34
Sri Lanka;20
Suazilandia;59
Sudafrica;97
Sudan;151
Sudan del Sur;159
Suecia;-63
Suiza;-72
Surinam;239
Tailandia;90
Tanzania;67
Tayikistan;140
Timor Oriental;219
Togo;237
Tonga;243
Trinidad y Tobago;41
Tunez;-15
Turkmenistan;139
Turquia;68
Tuvalu;235
Ucrania;140
Uganda;159
Uruguay;-46
Uzbekistan;158
Vanuatu;287
Venezuela;66
Vietnam;46
Yemen;167
Yibuti;213
Zambia;73
Zimbabue;165
